אֵאוֹגֶנִיקָה	QeQWgE!niqaH	eoge!nika
אַבִּירִי	QA_biri!	abiri!
אִבֵּךְ	QI_be!x	ibe!x
אֹבֶךְ	Qo!vEx	o!vex
אֲבָל	Qáva!l	ava!l
אֵבֶל	Qe!vEl	e!vel
אָבֵל	Qave!l	ave!l
אָבַל	QavA!l	ava!l
אֲבֵלוּת	Qávelu!t	avelu!t
אִבֵּן	QI_be!n	ibe!n
אֶבֶן	QE!vEn	e!ven
אַבְנֵט	QAvne!T	avne!t
אַבְנִי	QAvni!	avni!
אָבְנַיִם	Qav3nA!yIm	avna!im
אַבְנִית	QAvni!t	avni!t
אָבַס	QavA!s	ava!s
אַבְּסוֹלוּטִי	QA_bsWlu!Ti	absolu!ti
אַבְּסוּרְד	QA_bsu!rd	absu!rd
אַבְּסוּרְדִּי	QA_bsu!rḍi	absu!rdi
אַבְּסְטְרַקְט	QA_bsTrA!qT	abstra!kt
אַבְּסְטְרַקְטִי	QA_bsTrA!qTi	abstra!kti
אֲבַעְבּוּעָה	QávARbuRa!H	avabua!
אִבֵּץ	QI_be!Z	ibe!ts
אָבָץ	Qava!Z	ava!ts
אִבֵּק	QI_be!q	ibe!k
אֶבֶק	QE!vEq	e!vek
אָבָק	Qava!q	ava!k
אֻבַּק	QU_bA!q	uba!k
אַבְקָה	QAvqa!H	avka!
אֶבְקוֹעַ	QEvqW!RÁ	evko!a
אַבְקָן	QAvqa!n	avka!n
אִבְקֵק	QIvqe!q	ivke!k
אִבֵּר	QI_be!r	ibe!r
אֵבֶר	Qe!vEr	e!ver
אַבְרָהָם	QAvraha!m	avraha!m
אֶבְרוֹן	QEvrW!n	evro!n
אַבְרֵךְ	QAvre!x	avre!x
אַגַּב	QA_ǵA!v	aga!v
אִגְבּוּר	QIgbu!r	igbu!r
אַגָּבִי	QA_ǵavi!	agavi!
אִגְבֵּר	QIgbe!r	igbe!r
אִגֵּד	QI_ǵe!d	ige!d
אֶגֶד	QE!gEd	e!ged
אָגַד	QagA!d	aga!d
אֹגֶד	Qo!gEd	o!ged
אֻגַּד	QU_ǵA!d	uga!d
אֲגֻדָּה	QágU_ḍa!H	aguda!
אַגָּדָה	QA_ǵada!H	agada!
אֻגְדָּה	QUgḍa!H	ugda!
אַגָּדִי	QA_ǵadi!	agadi!
אַגָּדָתִי	QA_ǵadati!	agadati!
אֻגְדָּתִי	QUgḍati!	ugdati!
אֵגוֹ	Qe!gW	e!go
אֶגוֹאִיסְט	QEgWQi!sT	egoi!st
אִגּוּד	QI_ǵu!d	igu!d
אָגוּד	Qagu!d	agu!d
אֲגוּדָל	Qáguda!l	aguda!l
אֱגוֹז	QégW!z	ego!z
אִגּוּחַ	QI_ǵu!jÁ	igu!ax
אִגּוּם	QI_ǵu!m	igu!m
אִגּוּף	QI_ǵu!f	igu!f
אֵגוֹצֶנְטְרִי	QegWZE!nTri	egotse!ntri
אָגוּר	Qagu!r	agu!r
אֲגוֹרָה	QágWra!H	agora!
אָגוֹרָפוֹבְּיָה	QagWrafW!_byaH	agorafo!bja
אֶגְזוֹז	QEgzW!z	egzo!z
אֶגְזוֹזָן	QEgzWza!n	egzoza!n
אִגֵּחַ	QI_ǵe!jÁ	ige!ax
אָגָח	Qaga!j	aga!x
אָגִיד	Qagi!d	agi!d
אֲגִידָה	Qágida!H	agida!
אֵגִיפְּטוֹלוֹגְיָה	Qegi_pTWlW!gyaH	egiptolo!gja
אֲגִירָה	Qágira!H	agira!
אֵגֶל	Qe!gEl	e!gel
אֲגַם	QágA!m	aga!m
אִגֵּם	QI_ǵe!m	ige!m
אֲגַמּוֹן	QágA_mW!n	agamo!n
אַגְמוֹן	QAgmW!n	agmo!n
אֲגַמִּית	QágA_mi!t	agami!t
אַגָּן	QA_ǵa!n	aga!n
אֹגֶן	Qo!gEn	o!gen
אַגְנוֹסְטִי	QAgnW!sTi	agno!sti
אַגְנוֹסְטִיקָן	QAgnWs3Tiqa!n	agnostika!n
אַגָּס	QA_ǵa!s	aga!s
אֲגַף	QágA!f	aga!f
אִגֵּף	QI_ǵe!f	ige!f
אֶגֶף	QE!gEf	e!gef
אָגַף	QagA!f	aga!f
אֻגַּף	QU_ǵA!f	uga!f
אֶגֶר	QE!gEr	e!ger
אָגַר	QagA!r	aga!r
אַגְרֶגָט	QAgrEga!T	agrega!t
אַגְרֶגַצְיָה	QAgrEgA!ZyaH	agrega!tsja
אַגְרָה	QAgra!H	agra!
אֶגְרוֹל	QE!grWl	e!grol
אֶגְרוֹן	QEgrW!n	egro!n
אַגְרוֹנוֹם	QAgrWnW!m	agrono!m
אַגְרוֹנוֹמִי	QAgrWnW!mi	agrono!mi
אַגְרוֹנוֹמְיָה	QAgrWnW!myaH	agrono!mja
אִגְרוּף	QIgru!f	igru!f
אֶגְרוֹף	QEgrW!f	egro!f
אֶגְרוֹפָן	QEgrWfa!n	egrofa!n
אֲגַרְטָל	QágArTa!l	agarta!l
אַגְרָן	QAgra!n	agra!n
אַגְרֶסִיבִי	QAgrEsi!vi	agresi!vi
אַגְרֶסִיבִיּוּת	QAgrEsi!vI_yut	agresi!vijut
אִגְרֵף	QIgre!f	igre!f
אִגֶּרֶת	QI_ǵE!rEt	ige!ret
אֵד	Qe!d	e!d
אִדְגֵּם	QIdǵe!m	idge!m
אִדָּה	QI_ḍa!H	ida!
אַדְוָה	QAdwa!H	adva!
אָדוּט	Qadu!T	adu!t
אִדּוּי	QI_ḍu!y	idu!j
אֱדוֹם	QédW!m	edo!m
אָדוֹם	QadW!m	ado!m
אָדוֹן	QadW!n	ado!n
אֲדוֹנָי	QádWna!y	adona!j
אֲדוֹנִית	QádWni!t	adoni!t
אָדוּק	Qadu!q	adu!k
אִדּוּשׁ	QI_ḍu!c	idu!ʃ
אָדִיב	Qadi!v	adi!v
אֲדִיבוּת	Qádivu!t	adivu!t
אֶדִיפָּלִי	QEdi_pa!li	edipa!li
אֲדִיקוּת	Qádiqu!t	adiku!t
אַדִּיר	QA_ḍi!r	adi!r
אָדִישׁ	Qadi!c	adi!ʃ
אֲדִישׁוּת	Qádicu!t	adiʃu!t
אִדֵּם	QI_ḍe!m	ide!m
אָדַם	QadA!m	ada!m
אָדָם	Qada!m	ada!m
אָדֹם	Qado!m	ado!m
אֹדֶם	Qo!dEm	o!dem
אֲדַמְדַּם	QádAmḍA!m	adamda!m
אֲדַמְדֶּמֶת	QádAmḍE!mEt	adamde!met
אֲדָמָה	Qádama!H	adama!
אַדְמוּמִי	QAdmumi!	admumi!
אַדְמוּמִית	QAdmumi!t	admumi!t
אַדְמוֹנִי	QAdmWni!	admoni!
אַדְמוֹנִית	QAdmWni!t	admoni!t
אַדְמוֹר	QAdmW!r	admo!r
אַדְמִימוּת	QAdmimu!t	admimu!t
אַדְמִינִיסְטְרָטוֹר	QAdminisTra!TWr	administra!tor
אַדְמִינִיסְטְרָטִיבִי	QAdminisTraTi!vi	administrati!vi
אַדְמִינִיסְטְרַצְיָה	QAdminisTrA!ZyaH	administra!tsja
אַדְמִירָל	QAdmira!l	admira!l
אַדְמִירָלוּת	QAdmiralu!t	admiralu!t
אַדְמִירָלִיּוּת	QAdmira!lI_yut	admira!lijut
אֶדָמָמֶה	QEdama!mEH	edama!me
אַדֶּמֶת	QA_ḍE!mEt	ade!met
אֶדֶן	QE!dEn	e!den
אַדְנוּת	QAdnu!t	adnu!t
אֲדָנִית	Qádani!t	adani!t
אָדַפְּטַצְיָה	QadA_pTA!ZyaH	adapta!tsja
אִדֵּק	QI_ḍe!q	ide!k
אֲדָר	Qáda!r	ada!r
אִדֵּר	QI_ḍe!r	ide!r
אֵדֶר	Qe!dEr	e!der
אֶדֶר	QE!dEr	e!der
אִדְרָה	QIdra!H	idra!
אַדְרִיכָל	QAdrixa!l	adrixa!l
אַדְרִיכָלוּת	QAdrixalu!t	adrixalu!t
אַדְרִיכָלִי	QAdrixali!	adrixali!
אַדְרֵנָלִין	QAdrenali!n	adrenali!n
אַדֶּרֶת	QA_ḍE!rEt	ade!ret
אִדֵּשׁ	QI_ḍe!c	ide!ʃ
אֶדְשׁוֹנִי	QEdcWni!	edʃoni!
אַהַב	QAhA!v	aha!v
אָהַב	QahA!v	aha!v
אַהֲבָה	QAháva!H	ahava!
אֲהַבְהַבִּים	QáhAvhA_bi!m	ahavhabi!m
אֲהַבְהָבִים	QáhAvhavi!m	ahavhavi!m
אֳהָבִים	Qóhavi!m	ohavi!m
אַהְבַּל	QA!hbAl	a!hbal
אָהַד	QahA!d	aha!d
אַהֲדָה	QAháda!H	ahada!
אָהוּב	Qahu!v	ahu!v
אֵהוּד	Qehu!d	ehu!d
אָהוּד	Qahu!d	ahu!d
אָהוֹי	QahW!y	aho!j
אֲהִיבָה	Qáhiva!H	ahiva!
אֲהִידָה	Qáhida!H	ahida!
אָהִיל	Qahi!l	ahi!l
אִהֵל	QIhe!l	ihe!l
אָהַל	QahA!l	aha!l
אָהָל	Qaha!l	aha!l
אֹהֶל	Qo!hEl	o!hel
אׇהֳלוֹן	QOhólW!n	oholo!n
אַהְלֵן	QA!hlen	a!hlen
אַהְלַן	QA!hlAn	a!hlan
אוֹ	QW!	o!
אוֹאָזִיס	QWQa!zis	oa!zis
אוֹב	QW!v	o!v
אוֹבֵד	QWve!d	ove!d
אוֹבֶה	QWvE!H	ove!
אוֹבְּיֶיקְט	QW_b3yE!YqT	obje!kt
אוֹבְּיֶיקְטִיבִיּוֹת	QW_b3yEYq3Ti!vI_yWt	objekti!vijot
אוֹבְּיֶקְט	QW_byE!qT	obje!kt
אוֹבְּיֶקְטִיבִי	QW_byEqTi!vi	objekti!vi
אוֹבְּיֶקְטִיבִיּוּת	QW_byEqTi!vI_yut	objekti!vijut
אוֹבֵּלִיסְק	QW_beli!sq	obeli!sk
אוֹבֶּלִיסְק	QW_bEli!sq	obeli!sk
אוֹבְּסֵסִיבִי	QW_bsesi!vi	obsesi!vi
אוֹבְּסֶסִיבִי	QW_bsEsi!vi	obsesi!vi
אוֹבְּסֵסְיָה	QW_bse!syaH	obse!sja
אוֹבֶרְדְּרַפְט	QW!vErḍrAfT	o!verdraft
אוֹג	QW!g	o!g
אוֹגֵד	QWge!d	oge!d
אוּגְדָּה	Qug3ḍa!H	ugda!
אוֹגְדָן	QWg3da!n	ogda!n
אוֹגוּסְט	QW!gusT	o!gust
אוּגַנְדִּי	QugA!nḍi	uga!ndi
אוֹגֵף	QWge!f	oge!f
אוֹגֵר	QWge!r	oge!r
אוּד	Qu!d	u!d
אוֹדוֹנְטוֹלוֹגְיָה	QWdWnTWlW!gyaH	odontolo!gja
אוֹדוֹת	QWdW!t	odo!t
אוֹדְיוֹמֶטֶר	QWdyWmE!TEr	odjome!ter
אוֹדִיטוֹרְיוּם	QWdiTW!r3yum	odito!rjum
אוֹדִישֶׁן	QWdi!cEn	odi!ʃen
אוֹדֵם	QWde!m	ode!m
אִוָּה	QI_wa!H	iva!
אוֹהֵב	QWhe!v	ohe!v
אוֹהֵד	QWhe!d	ohe!d
אוֹהֶד	QWhE!d	ohe!d
אוֹהְם	QW!hm	o!hm
אִוּוּי	QI_wu!y	ivu!j
אֲוָז	Qáwa!z	ava!z
אוּזְבֶּקִי	Quz3bE!qi	uzbe!ki
אוֹזוֹן	QWzW!n	ozo!n
אֲוָזוֹן	QáwazW!n	avazo!n
אוֹזֵל	QWze!l	oze!l
אוֹזֵר	QWze!r	oze!r
אוֹחַ	QW!jÁ	o!ax
אוֹחֵז	QWje!z	oxe!z
אוֹטוֹ	QW!TW	o!to
אוֹטוֹאִימוּנִי	QWTWQimu!ni	otoimu!ni
אוֹטוֹאֵמַנְצִיפַּצְיָה	QWTWQemAnZi_pA!ZyaH	otoemantsipa!tsja
אוֹטוֹבּוּס	QW!TW_bus	o!tobus
אוֹטוֹבִּיוֹגְרָפִי	QWTW_bIyWgra!fi	otobijogra!fi
אוֹטוֹבִּיּוֹגְרָפִי	QWTW_bI_yWgra!fi	otobijogra!fi
אוֹטוֹבִּיּוֹגְרַפְיָה	QWTW_bI_yWgrA!fyaH	otobijogra!fja
אוֹטוֹבָּן	QW!TW_ban	o!toban
אוֹטוֹגְרָף	QWTWgra!f	otogra!f
אוֹטוֹדִידַקְט	QWTWdidA!qT	otodida!kt
אוֹטוֹדִידַקְטִיּוּת	QWTWdidA!qTI_yut	otodida!ktijut
אוֹטוֹטְרוֹף	QWTWTrW!f	ototro!f
אוֹטוֹמוֹבִּיל	QWTWmW_bi!l	otomobi!l
אוֹטוֹמָט	QWTWma!T	otoma!t
אוֹטוֹמָטִי	QWTWma!Ti	otoma!ti
אוֹטוֹמַצְיָה	QWTWmA!ZyaH	otoma!tsja
אוֹטוֹנוֹמִי	QWTWnW!mi	otono!mi
אוֹטוֹנוֹמְיָה	QWTWnW!myaH	otono!mja
אוֹטוֹסוּגֶסְטְיָה	QWTWsugE!sTyaH	otosuge!stja
אוֹטוֹסְטְרָדָה	QWTWsTra!daH	otostra!da
אוּטוֹפִּי	QuTW!_pi	uto!pi
אוּטוֹפְּיָה	QuTW!_pyaH	uto!pja
אוֹטוֹקְרָטִי	QWTWqra!Ti	otokra!ti
אוֹטוֹקְרַטְיָה	QWTWqrA!TyaH	otokra!tja
אוֹטוֹרִיטָה	QWTW!riTaH	oto!rita
אוֹטִיזְם	QWTi!zm	oti!zm
אוֹטִיסְט	QWTi!sT	oti!st
אוֹטֵם	QWTe!m	ote!m
אוֹטֵר	QWTe!r	ote!r
אוֹטַרְקִי	QWTA!rqi	ota!rki
אוֹטַרְקְיָה	QWTA!rqyaH	ota!rkja
אוֹטַרְקִיָּה	QWTA!rqI_yaH	ota!rkija
אוֹי	QW!y	o!j
אוֹיֵב	QWye!v	oje!v
אוֹיְבוּת	QWy3vu!t	ojvu!t
אֱוִיל	Qéwi!l	evi!l
אֱוִילִי	Qéwili!	evili!
אֲוִיר	Qáwi!r	avi!r
אֲוִירַאי	QáwirA!Ny	avira!j
אֲוִירָה	Qáwira!H	avira!
אֲוִירוֹבָּטִיקָה	QáwirW_ba!TiqaH	aviroba!tika
אָוִירוֹבָּטִיקָה	QawirW_ba!TiqaH	aviroba!tika
אֲוִירוֹדִינָמִי	QáwirWdina!mi	avirodina!mi
אָוִירוֹדִינָמִיקָה	QawirWdina!miqaH	avirodina!mika
אֲוִירוֹן	QáwirW!n	aviro!n
אֲוִירוֹנָאוּטִי	QáwirWna!QuTi	avirona!uti
אֲוִירִי	Qáwiri!	aviri!
אֲוִירִיָּה	QáwirI_ya!H	avirija!
אֲוִירָנִי	Qáwirani!	avirani!
אוֹכֵל	QWxe!l	oxe!l
אוּכְלוּסִין	Qux3lusi!n	uxlusi!n
אוּכְמָנִית	Qux3mani!t	uxmani!t
אוֹכֵף	QWxe!f	oxe!f
אוּלְטִימָטוּם	QulTima!Tum	ultima!tum
אוּלְטִימָטִיבִי	QulTimaTi!vi	ultimati!vi
אוּלְטְרָפִילְטְרָצְיָה	QulTrafilTra!ZyaH	ultrafiltra!tsja
אוּלַי	QulA!y	ula!j
אוֹלִיגוֹפּוֹל	QWligW_pW!l	oligopo!l
אוֹלִיגַרְךְ	QWligA!rx	oliga!rx
אוֹלִיגַרְכִי	QWligA!rxi	oliga!rxi
אוֹלִיגַרְכְיָה	QWligA!rx3yaH	oliga!rxja
אוֹלִיגַרְכִיָּה	QWligA!rxI_yaH	oliga!rxija
אוֹלִימְפִּי	QWli!mpi	oli!mpi
אוֹלִימְפְּיָאדָה	QWlimpya!NdaH	olimpja!da
אוֹלִימְפִּיָּאדָה	QWlimpI_ya!NdaH	olimpija!da
אוּלָם	Qula!m	ula!m
אוּלְפָּן	Qul3pa!n	ulpa!n
אוּלְקוּס	Qu!l3qus	u!lkus
אוֹלָר	QWla!r	ola!r
אִוֶּלֶת	QI_wE!lEt	ive!let
אוּם	Qu!m	u!m
אוֹמֶגָה	QWmE!gaH	ome!ga
אוֹמֵד	QWme!d	ome!d
אוּמְדָּן	Qum3ḍa!n	umda!n
אוּמְלָלוּת	Qum3lalu!t	umlalu!t
אוֹמָן	QWma!n	oma!n
אוֹמְנוּת	QWmnu!t	omnu!t
אוֹמְנִיסֶקְסוּאָלִיוּת	QWmnisEqsuQa!lIyut	omniseksua!lijut
אוֹמְנִיפּוֹטֶנְטִי	QWmni_pWTE!nTi	omnipote!nti
אוֹמְנִיפּוֹטֶנְטִיּוּת	QWmni_pWTE!nTI_yut	omnipote!ntijut
אוֹמֶנֶת	QWmE!nEt	ome!net
אוֹמֵץ	QWme!Z	ome!ts
אוֹמֵר	QWme!r	ome!r
אוֹן	QW!n	o!n
אָוֶן	Qa!wEn	a!ven
אֶוַנְגֶּלִי	QEwAnǵE!li	evange!li
אֵוַנְגֶּלְיוֹן	QewAnǵElyW!n	evangeljo!n
אֶוָנְגֵלְיוֹן	QEwangelyW!n	evangeljo!n
אָוַנְגַּרְד	QawAnǵA!rd	avanga!rd
אָוַנְגַּרְדִּי	QawAnǵA!rḍi	avanga!rdi
אוּנָּה	Qu_na!H	una!
אוֹנוֹמָטוֹפֵּיָה	QWnWmaTW_pe!yaH	onomatope!ja
אוֹנוֹמַסְטִיקָה	QWnWmA!sTiqaH	onoma!stika
אוֹנוּת	QWnu!t	onu!t
אוֹנְטוֹלוֹגִי	QWnTWlW!gi	ontolo!gi
אוֹנְטוֹלוֹגְיָה	QWnTWlW!gyaH	ontolo!gja
אוּנִיבֶרְסִיטָאִי	QunivErsiTaQi!	universitai!
אוּנִיבֶרְסִיטָה	QunivE!rsiTaH	unive!rsita
אוּנִיבֶרְסָלִי	QunivErsa!li	universa!li
אוּנִיטָרִי	QuniTa!ri	unita!ri
אוֹנֵן	QWne!n	one!n
אוֹנְנוּת	QWn3nu!t	onenu!t
אוֹנָנוּת	QWnanu!t	onanu!t
אוֹנֵס	QWne!s	one!s
אוֹנְקוֹלוֹגִי	QWnqWlW!gi	onkolo!gi
אוֹנְקוֹלוֹגְיָה	QWnqWlW!gyaH	onkolo!gja
אוּנְקִיָּה	Qun3qI_ya!H	unkija!
אוֹסְטֵאוֹפַּתְיָה	QWsTeQW_pA!tyaH	osteopa!tja
אוֹסְטְרִי	QW!sT3ri	o!stri
אוֹסְטְרִיָּה	QW!sT3rI_yaH	o!strija
אוֹסְטְרַלְאַסְיָה	QWsTrAlQA!syaH	ostralʔa!sja
אוֹסְטְרָלִי	QWsT3ra!li	ostra!li
אוֹסְטְרַלְיָה	QWsT3rA!lyaH	ostra!lja
אוֹסְטְרָקוֹן	QWsTraqW!n	ostrako!n
אוֹסְטְרָקִיזְם	QWsTraqi!zm	ostraki!zm
אוֹסְמוֹזָה	QWsmW!zaH	osmo!za
אוֹסְמוֹפוֹבְּיָה	QWsmWfW!_byaH	osmofo!bja
אוֹסֵף	QWse!f	ose!f
אוֹסֵר	QWse!r	ose!r
אוֹפֶה	QWfE!H	ofe!
אוֹפּוֹזִיצְיָה	QW_pWzi!ZyaH	opozi!tsja
אוֹפּוֹזִיצְיוֹנִי	QW_pWziZyW!ni	opozitsjo!ni
אוֹפּוֹזִיצְיוֹנֵר	QW_pWziZyWne!r	opozitsjone!r
אוֹפּוֹסוּם	QW_pW!sum	opo!sum
אוֹפּוֹרְטוּנִיזְם	QW_pWrTuni!zm	oportuni!zm
אוֹפּוֹרְטוּנִיסְט	QW_pWrTuni!sT	oportuni!st
אוּפוֹרְיָה	QufW!ryaH	ufo!rja
אוֹפְּטוֹמֶטֶר	QW_pTWmE!TEr	optome!ter
אוֹפְּטוֹמֶטְרִיָּה	QW_pTWmE!TrI_yaH	optome!trija
אוֹפְּטוֹמֶטְרִיסְט	QW_p3TWmETri!sT	optometri!st
אוֹפְּטִי	QW!_pTi	o!pti
אוֹפְּטִימִי	QW_pTi!mi	opti!mi
אוֹפְּטִימִיזַצְיָה	QW_pTimizA!ZyaH	optimiza!tsja
אוֹפְּטִימִיסְט	QW_pTimi!sT	optimi!st
אוֹפְּטִימָלִי	QW_pTima!li	optima!li
אוֹפְּטִיקַאי	QW_p3TiqA!Ny	optika!j
אוֹפְּטִיקָה	QW!_pTiqaH	o!ptika
אוֹפְּיוּם	QW!_pyum	o!pjum
אוֹפַן	QWfA!n	ofa!n
אוֹפְנָה	QWf3na!H	ofna!
אוֹפַנּוֹעַ	QWfA_nW!RÁ	ofano!a
אוֹפַנּוֹעָן	QWfA_nWRa!n	ofanoa!n
אוֹפַנַּיִם	QWfA_nA!yIm	ofana!im
אוֹפֶנְסִיבִי	QWfEnsi!vi	ofensi!vi
אוֹפֵס	QWfe!s	ofe!s
אוֹפֵף	QWfe!f	ofe!f
אוֹפְּצְיָה	QW!_pZyaH	o!ptsja
אוֹפְּצִיָּה	QW!_pZI_yaH	o!ptsja
אוֹפְּצְיוֹנָלִי	QW_pZyWna!li	optsjona!li
אוֹפְקִיּוּת	QWf3qI_yu!t	ofkiju!t
אוֹפֶּרָאִי	QW_pEra!Qi	opera!i
אוֹפֵּרָה	QW!_peraH	o!pera
אוֹפֵּרֵטָה	QW_pere!TaH	opere!ta
אוֹפֶּרָטִיבִי	QW_pEraTi!vi	operati!vi
אוֹפְתַלְמוֹלוֹגְיָה	QWftAlmWlW!gyaH	oftalmolo!gja
אוֹצֵל	QWZe!l	otse!l
אוֹצֵר	QWZe!r	otse!r
אוֹצָר	QWZa!r	otsa!r
אוֹצָרוֹן	QWZarW!n	otsaro!n
אוֹקוּלְטִיזְם	QWqul3Ti!zm	okulti!zm
אוֹקְטָבָה	QWqTa!vaH	okta!va
אוֹקְטוֹבֶּר	QWq3TW!_bEr	okto!ber
אוֹקְטֵט	QWqTe!T	okte!t
אוֹקְטָן	QWqTa!n	okta!n
אוֹקְיָאנוֹגְרַפְיָה	QWqyaNnWgrA!fyaH	okjanogra!fja
אוֹקְיָנוֹס	QWq3ya!nWs	okja!nos
אוֹקְלָהוֹמָה	QWqlahW!maH	oklaho!ma
אוֹקְסִידֶנְטָלִיזְם	QWqsidEnTali!zm	oksidentali!zm
אוֹקְסִימוֹרוֹן	QWq3simWrW!n	oksimoro!n
אוּקְסִין	Quq3si!n	uksi!n
אוּקְרָאִינָה	Quq3raQi!naH	ukrai!na
אוּקְרָאִינִי	Quq3raQi!ni	ukrai!ni
אוּקְרָאִינִית	Quq3raQi!nit	ukrai!nit
אוֹקָרִינָה	QWqarina!H	okarina!
אוֹר	QW!r	o!r
אוּר	Qu!r	u!r
אִוֵּר	QI_we!r	ive!r
אוֹרֵב	QWre!v	ore!v
אוּרְבָּנִי	Qur3ba!ni	urba!ni
אוּרְבָּנִיזְם	Qur3bani!zm	urbani!zm
אוֹרֵג	QWre!g	ore!g
אוֹרְגַּזְמָה	QWr3ǵA!zmaH	orga!zma
אוֹרְגְּיָה	QW!rǵyaH	o!rgja
אוֹרְגִּיָּה	QW!rǵI_yaH	o!rgja
אוֹרְגָּן	QWr3ǵa!n	orga!n
אוֹרֵגָנוֹ	QWre!ganW	ore!gano
אוֹרְגָּנִי	QWr3ǵa!ni	orga!ni
אוֹרְגָּנִיזְם	QWrǵani!zm	organi!zm
אוֹרְגָּנִיזַצְיָה	QWrǵanizA!ZyaH	organiza!tsja
אוֹרְגָנִיסְט	QWr3gani!sT	organi!st
אוֹרֶה	QWrE!H	ore!
אוֹרָה	QWra!H	ora!
אוּרוֹלוֹגִי	QurWlW!gi	urolo!gi
אוּרוֹלוֹגְיָה	QurWlW!gyaH	urolo!gja
אוֹרוֹן	QWrW!n	oro!n
אוּרוֹפִילְיָה	QurWfi!lyaH	urofi!lja
אִוְרוּר	QIwru!r	ivru!r
אוֹרֵז	QWre!z	ore!z
אוֹרֶז	QW!rEz	o!rez
אוֹרֵחַ	QWre!jÁ	ore!ax
אוֹרְחָה	QWr3ja!H	orxa!
אוֹרִיגָמִי	QWriga!mi	origa!mi
אוֹרְיָנוּת	QWr3yanu!t	orjanu!t
אוֹרְיֶנְטָלִי	QWryEnTa!li	orjenta!li
אוֹרְיֶנְטָלִיסְטִי	QWryEnTali!sTi	orjentali!sti
אוֹרְיָנִי	QWr3yani!	orjani!
אַוְרִירִי	QAwriri!	avriri!
אוֹרֵךְ	QWre!x	ore!x
אוּרַנְגְּאוּטָן	QurAnǵ3QuTa!n	urangʔuta!n
אוּרָנוּס	Qura!nus	ura!nus
אוּרַנְיוּם	QurA!nyum	ura!njum
אוֹרְנִיתוֹלוֹג	QWr3nitWlW!g	ornitolo!g
