repr	class	index	pos	pwn31	dbpedia	comment	wikidata	he_wiki	context	register	dating	frequency	babelnet	other	en_wiktionary
7A!q7iqaH	noun	0	noun	05913746-n											
7Aq7iqa!n	noun	0	noun	10707852-n											
7AqsWnW!myaH	noun	0	noun	06162674-n	Taxonomy_(biology)										
7AqVAndW!	noun	0	noun	00828342-n	Taekwondo										
7aQWQi!s7i	noun	0	adjective												Taoistic-adj
7arAcTi!	noun	0	adjective	02804218-a											
7arAcTi!	noun	0	adjective	02804337-a											
7ara!f	noun	0	noun	13152642-n											
7A!RAm	noun	0	noun		Taste										
7ARáme!Y hA_mIqra!Q	noun	0	noun		Hebrew_cantillation										
7aRA!n	verb	0	verb	02238680-v											
7arA!n7ulaH	noun	0	noun		Tarantula										
7ARána!H	noun	0	noun		Proposition										
7Arda!n	noun	0	adjective	00090253-s											
7arE!cEt RWr3qi!m	noun	0	noun	14132195-n	Atherosclerosis										
7are!f	noun	0	adjective	00429618-s											
7ari!	noun	0	adjective	01071383-a											
7ari!	noun	0	adjective	01074886-a											
7aRi!m	noun	0	adjective	02403682-a											
7aRu!n	noun	0	adjective	00858176-s											
7aRu!n	noun	0	adjective	01427328-a											
7aRu!n	noun	0	adjective	00359212-a											
7aRu!n	noun	0	adjective	01903291-s											
7aRu!t	noun	0	noun	00071785-n											
7aRu!t mara!H	noun	0	noun	00077143-n											
7Avla!H	noun	0	noun		Table_(information)										
7AvlaQi!	noun	0	adjective	03134301-a											
7Avli!t	noun	0	noun	03942844-n											
7AvlI_ya!H	noun	0	noun	03942844-n											
7A_wA!Ny	noun	0	noun	10791858-n											
7A_wa!s	noun	0	noun		Peafowl										
7awu!y	noun	0	adjective	02589907-a											
7A_ya!j	noun	0	noun	10458609-n											
7A_ya!s	noun	0	noun		Aircraft_pilot										
7A_yA!s jala!l	noun	0	noun	09837427-n											
7A_yE!lEt	noun	0	noun		Esplanade										
7Ayfu!n	noun	0	noun	11541578-n	Typhoon										
7e!7anus	noun	0	noun		Tetanus										
7E!fAj	noun	0	noun		Hand_(unit)										
7E!lE7Eqs7	noun	0	noun		Teletext										
7E!lEf	noun	0	noun	02156785-n											
7e!lefWn	noun	0	noun	04408223-n	Telephone										
7ElEfW!ni	noun	0	adjective	03135102-a											
7e!lEgraf	noun	0	noun	04407634-n											
7ElEgra!fi	noun	0	adjective	02921387-a											
7ElEgrA!fyaH	noun	0	noun	06285574-n											
7ElE_pa!ti	noun	0	adjective	02116606-s											
7elE_pA!tyaH	noun	0	noun	07270666-n	Telepathy										
7ElE_pA!tyaH	noun	0	noun		Telepathy										
7ElE_pri!n7Er	noun	0	noun	04411335-n											
7eleqinE!zis	noun	0	noun	07271713-n	Psychokinesis										
7eleQWlW!gyaH	noun	0	noun	05986486-n	Teleology										
7eleqWmuniqA!ZyaH	noun	0	noun		Telecommunication										
7E!lEr	noun	0	noun	10718466-n											
7e!lEsqW_p	noun	0	noun	04410773-n	Telescope										
7ElEsqW!_pi	noun	0	adjective	02527059-s											
7elewi!zyaH	noun	0	noun	04413042-n											
7E!mbEl	noun	0	noun	10217144-n						slang					
7Empera7u!raH	noun	0	noun	05018974-n	Temperature										
7EmpEra7u!raH	noun	0	noun		Temperature										
7EmpEra7ura!H qri!7it	noun	0	noun												critical_temperature-noun
7En7a7i!vi	noun	0	adjective	02138052-s											
7En7a7i!vi	noun	0	adjective	00558544-s											
7e!nis	noun	0	noun	00483309-n	Tennis										
7enisA!Ny	noun	0	noun	10720829-n											
7EnisA!Ny	noun	0	noun	10720829-n											
7e!nWr	noun	0	noun	06885726-n											
7Eq7W!ni	noun	0	adjective	02950436-a											
7Eq7W!niqaH	noun	0	noun	06127977-n											
7E!qEs	noun	0	noun		Ceremony										
7Eqi!laH	noun	0	noun		Tequila										
7E!qs7	noun	0	noun		Text_(literary_theory)										
7Eqs7i!l	noun	0	noun	03314753-n											
7Eqs7uQa!li	noun	0	adjective	02937192-a											
7EqsimE!7Er	noun	0	noun	04403470-n	Taximeter										
7eQu!7	noun	0	noun	00253174-n											
7Era7WlW!gyaH	noun	0	noun		Teratology										
7E!raH-hErZ	noun	0	noun	15305326-n											
7era!saH	noun	0	noun		Terrace_(earthworks)										
7E!rbyum	noun	0	noun		Terbium										
7E!rEf	noun	0	noun	02155533-n											
7E!rEf	noun	0	noun	02155533-n											
7eri7W!ryaH	noun	0	noun	08510074-n	Territory										
7Eri7Wrya!Nli	noun	0	adjective	02823421-a											
7Eri7Wrya!Nli	noun	0	adjective	02418296-a											
7Eri7Wrya!Nli	noun	0	adjective	02417407-a											
7Ermi!7	noun	0	noun	02225918-n											
7E!rminal	noun	0	noun		Airport_terminal										
7Ermina!li	noun	0	adjective	00128333-r											
7ErminWlW!gi	noun	0	adjective	03135229-a											
7ErminWlW!gyaH	noun	0	noun		Terminology										
7eru!f	noun	0	noun		Insanity										
7erWri!s7	noun	0	noun	10722430-n											
7ErWri!s7i	noun	0	adjective												terrorist-adj
7Es7Ws7ErW!n	noun	0	noun		Testosterone										
7E!vAj	noun	0	noun		Massacre										
7E!vAR	noun	0	noun		Nature										
7E!vAR ceni!	noun	0	noun	00415894-n											
7eve!t	fixed	0	properNoun		Tevet										
7ExnA!Ny	noun	0	noun	10715747-n											
7E!xni	noun	0	adjective	02902437-a											
7E!xni	noun	0	adjective	01112409-a											
7E!xni	noun	0	adjective	02820296-a											
7ExnWfW!_b	noun	0	noun	10716509-n											
7ExnWfW!_byaH	noun	0	noun	07519497-n											
7ExnWlW!g	noun	0	adjective	09638837-n											
7ExnWlW!gi	noun	0	adjective	02820431-a											
7ExnWlW!gi	noun	0	adjective	02092125-s											
7ExnWlW!gyaH	noun	0	noun	03707142-n	Technology										
7ExnWlW!gyaH	noun	0	noun	06134474-n	Technology										
7ExnWlW!gyaH RI_li!t	noun	0	noun	00952969-n											
7ExnWqra!7	noun	0	noun	10716168-n											
7ExnWqra!7i	noun	0	adjective												technocratic-adj
7ExnWqrA!7yaH	noun	0	noun	08380033-n											
7e!Yt	noun	0	noun	06850622-n											
7i7A!nyum	noun	0	noun		Titanium										
7i7u!l	noun	0	noun	03193215-n											
7I_be!RÁ	verb	0	verb	01299987-v											
7If7e!f	verb	0	verb	02763433-v											
7If7e!f	verb	0	verb	01614420-v											
7If7e!f	verb	0	verb	02075070-v											
7If7u!f	noun	0	noun	11522740-n											
7I_Ge!n	verb	0	verb	00326129-v											
7i!gris	noun	0	noun		Tiger										
7I_Gu!n	noun	0	noun		Frying										
7I_Gu!n	noun	0	noun	00247807-n											
7i!jÁ	noun	0	noun	15016854-n											
7i!l	noun	0	noun		Missile										
7Il7e!l	verb	0	verb	00167193-v											
7i!l cI_yu!7	noun	0	noun		Cruise_missile										
7i!lDaH	noun	0	noun		Tilde										
7I_le!Q	verb	0	verb	00263589-v											
7IlG3re!f	verb	0	verb												telegraph-verb-tRMlgPT8
7Ilpe!n	verb	0	verb	00791110-v											
7In7u!n	noun	0	noun	14591940-n											
7ina!H	noun	0	noun		Resentment										
7ina!H	noun	0	noun	07565002-n											
7i!_p	noun	0	noun	13319724-n											
7i!_p	noun	0	noun	13319724-n											
7I_p3ci!	noun	0	adjective	02580838-a											
7I_pa!H	noun	0	noun		Drop_(liquid)										
7I_pe!c	noun	0	adjective	01339540-a											
7I_pe!l	verb	0	verb	02555278-v											
7I_pe!s	verb	0	verb	01925957-v											
7I_po!nEt	noun	0	noun	13793968-n											
7I_pu!l	noun	0	noun		Therapy										
7I_pu!l	noun	0	noun	01137182-n											
7I_pu!l yW!m	noun	0	noun	01212929-n											
7I_pu!s	noun	0	noun		Climbing										
7i_pWgra!fi	noun	0	adjective	02921561-a											
7i_pWgrA!fyaH	noun	0	noun	01104905-n											
7i_pWgrA!fyaH	noun	0	noun	06690719-n											
7i_pWlW!gi	noun	0	adjective												typological-adj
7i_pWlW!gyaH	noun	0	noun	01015913-n											
7i-Qen-7i!	noun	0	noun	04449277-n	TNT										
7Iqsi!	noun	0	adjective	01046173-s											
7ira!H	noun	0	noun		Castle										
7Irpe!d	verb	0	verb	02563998-v											
7IRu!n	noun	0	noun		Argument										
7irWnu!t	noun	0	noun		Tironut										
7isa!H	noun	0	noun	00302018-n											
7isa!H	noun	0	noun	00303220-n											
7IvRi!	noun	0	adjective	01574358-a											
7IvRi!	noun	0	adjective	01599632-s											
7IvRi!	noun	0	adjective	01575285-a											
7IvRi!	noun	0	adjective	00075202-s											
7IvRi!	fixed	0	adverb	00490971-r											
7IvRi!t	fixed	0	adverb	00039019-r											
7IvRi!t	fixed	0	adverb	00141437-r											
7IvRWni!	noun	0	adjective												vegan-adj-XuQ.4Fcc
7IvRWni!	noun	0	adjective												vegan-adj-mV-8Hg2.
7IvRWni!	noun	0	adjective												vegan-adj-B8i9eCJz
7IvRWnu!t	noun	0	noun		Veganism										
7I_yu!jÁ	noun	0	noun	00720067-n											
7I_yu!l	noun	0	noun		Travel										
7o!fEr	noun	0	noun		Claw										
7o!fEs	noun	0	noun		Form_(document)										
7Ohóra!H	noun	0	noun	14013549-n											
7ragE!dyaH	noun	0	noun		Tragedy										
7ra!gi	noun	0	adjective	02984786-a											
7ra!gi	noun	0	adjective	01366069-s											
7ragiqWmE!dyaH	noun	0	noun	07030275-n											
7ragiqWmE!dyaH	noun	0	noun	07029911-n											
7ragiqW!mi	noun	0	adjective	02985085-a											
7ragiqW!mi	noun	0	adjective	01366286-s											
7ragiqW!mi	noun	0	adjective	01270872-s											
7rAmpWli!naH	noun	0	noun		Trampoline										
7rAnsafWrmA!ZyaH	noun	0	noun	13807348-n	Transformation_(function)										
7rAnsafWrmA!ZyaH	noun	0	noun	00399838-n	Transformation_(genetics)										
7rAnsA!qZyaH	noun	0	noun	01108713-n											
7rAnsEqsuQa!l	noun	0	noun	10745529-n											
7rAnsEqsuQa!l	noun	0	noun	10745370-n											
7rAnsEqsuQa!l	noun	0	noun	02608757-a											
7rAnsfe!r	noun	0	noun		Population_transfer										
7rAnsfE!r	noun	0	noun		Population_transfer										
7rAnsfWrma!7Wr	noun	0	noun	04478550-n											
7rAnsli7erA!ZyaH	noun	0	noun	06361198-n	Transliteration										
7rAnspirA!ZyaH	noun	0	noun	13590977-n										https://he.wiktionary.org/wiki/%D7%98%D7%A8%D7%A0%D7%A1%D7%A4%D7%99%D7%A8%D7%A6%D7%99%D7%94	
7rAnspirA!ZyaH	noun	0	noun	13591275-n											
7rAnsplAn7A!ZyaH	noun	0	noun	00694932-n											
7rAnspWzi!ZyaH	noun	0	noun	00102982-n											
7rAnspWzi!ZyaH	noun	0	noun	00340602-n											
7rAnsqri!_pZyaH	noun	0	noun	06360967-n											
7rAnsXE!nDEr	noun	0	noun		Transgender										
7rAnsZEnDEn7a!li	noun	0	adjective	01581495-s											
7rAnsZEnDEn7a!li	noun	0	adjective	02884663-a											
7rAnsZEnDE!n7i	noun	0	adjective	02353288-s											
7rAnsZEnDE!n7i	noun	0	adjective	01377838-s											
7rAnsZEnDE!n7I_yut	noun	0	noun		Transcendence_(religion)										
7rA!nzi7	noun	0	noun	00309941-n											
7rAnzi7i!vi	noun	0	adjective	02498383-a											
7rAnzi!s7Wr	noun	0	noun	04478867-n											
7ra_pE!z	noun	0	noun		Trapeze										
7rA_pe!z	noun	0	noun	13904169-n	Trapezoid										
7rA!q7Wr	noun	0	noun		Tractor										
7raQuma!7i	noun	0	adjective	01717393-s											
7raQuma!7i	noun	0	adjective	02956209-a											
7ra!QumaH	noun	0	noun		Psychological_trauma										
7rE!mp	noun	0	noun	00310102-n											
7rE!mp	noun	0	noun	00310102-n											
7rE!nd	noun	0	noun	05758160-n											
7rE!nDi	noun	0	adjective	00976868-s											
7ri!7yum	noun	0	noun	14635699-n											
7ri!gEr	noun	0	noun	05836008-n											
7ri!gEr	noun	0	noun	00157210-n											
7rigliZEri!d	noun	0	noun	14909520-n											
7rigWnWmE!7ri	noun	0	adjective	02923831-a											
7rigWnWmE!7rI_yaH	noun	0	noun	06021862-n	Trigonometry										
7ri!l	noun	0	noun	06873227-n											
7rilW!gyaH	noun	0	noun		Trilogy										
7rilyW!n	noun	0	noun	13798632-n											
7rilyW!n	noun	0	noun	13774583-n											
7rilyW!n	other	0	numeral.cardinal	13774583-n		https://he.wikipedia.org/wiki/%D7%A9%D7%9E%D7%95%D7%AA_%D7%9E%D7%A1%D7%A4%D7%A8%D7%99%D7%9D#%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C									
7rimE!s7er	noun	0	noun	15251528-n											
7rimE!s7er	noun	0	noun	15250725-n											
7rinW!m	noun	0	noun		Trinomial										
7ri!q	noun	0	noun	00100771-n											
7riQAnGulA!ZyaH	noun	0	noun	00618577-n											
7riwya!Nli	noun	0	adjective	02172989-s											
7rIyW!daH	noun	0	noun		Triode										
7rW!l	noun	0	noun		Internet_troll										
7rWmbW!n	noun	0	noun	04494650-n											
7rW_pWsfE!raH	noun	0	noun	09485730-n											
7u!c	noun	0	noun		Marker_pen										
7u!naH	noun	0	noun		Tuna										
7u!niqaH	noun	0	noun		Tunic										
7ur3qi!	noun	0	adjective	03035366-a											
7ur3qi!	noun	0	noun	09754317-n											
7ur3qi!z	noun	0	noun		Turquoise										
7urA!Ny	noun	0	noun	10496052-n											
7urba!n	noun	0	noun	04505684-n											
7urbi!naH	noun	0	noun	04505818-n											
7urni!r	noun	0	noun		Tournament_(medieval)										
7urq3mEnis37a!n	fixed	0	properNoun		Turkmenistan										
7u!rq3yaH	fixed	0	properNoun		Turkey										
7u!siq	noun	0	noun	05566889-n											
7u!v	noun	0	noun	04856472-n											
7uzi!g	noun	0	noun	07592003-n											
7W7ali7a!ri	noun	0	adjective	00722079-s											
7W7ali7a!ri	noun	0	adjective	02829050-a											
7W7ali7ari!zm	noun	0	noun	06223441-n											
7W7ali7ari!zm	noun	0	noun	08457622-n											
7W!7Em	noun	0	noun	04465644-n											
7W!fi	noun	0	noun	07615354-n											
7W!fu	noun	0	noun		Tofu										
7W!gaH	noun	0	noun		Toga										
7WlErA!n7i	noun	0	adjective	02445545-a											
7WlErA!n7i	noun	0	adjective	02444201-s											
7W!naH	noun	0	noun		Tonne										
7Wna!li	noun	0	adjective	02827602-a											
7Wna!li	noun	0	adjective	02446352-a											
7W!ni	noun	0	adjective	02447247-s											
7W!nus	noun	0	noun	14568274-n											
7W_pa!z	noun	0	noun	15100916-n											
7W_pWgra!fi	noun	0	adjective	03029625-a											
7W_pWgrA!fyaH	noun	0	noun		Topography										
7W_pWlW!gi	noun	0	adjective	02828472-a											
7W_pWlW!gyaH	noun	0	noun		Topology										
7Wqsi!dW	noun	0	noun	03206460-n	Black_tie			טוקסידו							
7Wqsi!n	noun	0	noun	15058641-n											
7WqsiqWlW!g	noun	0	noun	10739456-n											
7WqsiqWlW!gyaH	noun	0	noun	06074012-n											
7Wr3da!n	noun	0	adjective	00090253-s											
7W!r7	noun	0	noun	07649120-n											
7Wr7Eli!ni	noun	0	noun		Tortellini										
7Wr7I!_yaH	noun	0	noun	07896558-n											
7Wre!f	noun	0	noun	02155392-n											
7Wre!f	noun	0	noun	01327072-n											
7WRe!m	noun	0	noun	10711978-n											
7Wrna!dW	noun	0	noun		Tornado										
7W!rsW	noun	0	noun	05557463-n											
7W!s7	noun	0	noun	07702618-n											
7W!s7Er	noun	0	noun	07702618-n											
7W!v	noun	0	adjective	01126910-a											
7W!v	noun	0	adjective	02339254-a											
7W!v	noun	0	adjective	00011555-r											
7W!v	noun	0	adjective	00053542-r											
7W!v	fixed	0	adverb	00011555-r											
7Wva!H	noun	0	noun	05163702-n											
7Wva!H	noun	0	noun	01229430-n											
b37iju!t	noun	0	noun	14562074-n	Safety										
b37ijuti!	noun	0	adjective	01895183-s											
b37ujW!t	fixed	0	adverb	00214025-r						literary					
b3cawE!H	fixed	0	adverb	00333793-r											
b3celu!t	noun	0	noun	14448184-n											
b3celu!t	noun	0	noun	14449005-n											
b3cE!ZEf qE!ZEf	fixed	0	adverb	00225476-r											
b3cila!H	noun	0	noun	13533441-n											
b3Ci!q	fixed	0	adverb	00049277-r											
b3cu!m pani!m	fixed	0	interjection	00057580-r											
b3cu!m pani!m waQo!fEn	fixed	0	interjection	00057580-r											
b3cu!m Qo!fEn	fixed	0	interjection	00057580-r											
b3cWge!g	fixed	0	adverb	00063188-r											
b3da!l	noun	0	noun	04257136-n											
b3dA!l sigA!ryaH	noun	0	noun	03034418-n											
b3da!m qA!r	fixed	0	adverb	00344222-r											
b3dA!Ny	noun	0	noun	06769542-n						literary					
b3daya!H	noun	0	noun	06769542-n											
b3dE!rEx k3la!l	fixed	0	adverb	00107608-r											
b3didu!t	noun	0	noun	07549496-n	Loneliness										
b3didu!t	noun	0	noun	14438567-n											
b3dija!H	noun	0	noun	06790941-n	Joke										
b3dija!H	noun	0	noun	06790941-n											
b3dija!H	noun	0	noun	05180970-n											
b3di!l	noun	0	noun	14683034-n	Tin										
b3di!l	noun	0	noun	14683034-n											
b3dilu!t	noun	0	noun	14438922-n						literary					
b3dimW!s	fixed	0	adverb	00035481-s		is it an adverb or an adjective?									
b3diqa!H	noun	0	noun	00880949-n	Inspection										
b3diqa!H	noun	0	noun	00637093-n											
b3diqa!H	noun	0	noun	00142626-n											
b3diqA!t Da!m	noun	0	noun	05750496-n	Blood_test										
b3diqatI_yu!t	noun	0	noun	00862640-s											
b3diqA!t n3QWtu!t	noun	0	noun		Due_diligence										
b3diRávA!d	fixed	0	adverb	00444990-r											
b3dI_yu!q	fixed	0	adverb	00159432-r											
b3dI_yu!q	fixed	0	adverb	00370459-r											
b3dI_yu!q	fixed	0	adverb	00159432-r											
b3do!jAq	fixed	0	adverb	00003317-r											
b3do!lAj	noun	0	noun	14906268-n	Lead_glass										
b3du!t	noun	0	noun	06770602-n											
b3duta!H	noun	0	noun	06770602-n											
b3fArhE!syaH	fixed	0	adverb	00163131-r											
b3fE!H male!Q	fixed	0	adverb	00497146-r											
b3feru!c	fixed	0	adverb	00369214-r											
b3fUmbi!	fixed	0	adverb	00163131-r											
b3gadW!l	fixed	0	adverb	00197952-r											
b3gadW!l	fixed	0	adverb	00042364-r						colloquial	contemporary	common			
b3gadW!l	fixed	0	adverb	00184576-r						colloquial	contemporary	common			
b3galu!y	fixed	0	adverb	00163131-r											
b3gida!H	noun	0	noun	00783726-n											
b3gida!H	noun	0	noun	00850096-n	Adultery										
b3gida!H	noun	0	noun	00783726-n	Treason										
b3gida!H	noun	0	noun	00751065-n											
b3gI_lufi!n	fixed	0	adverb	00200649-r											
b3gI_lu!y ro!Nc	fixed	0	adverb	00460697-s											
b3gira!H	noun	0	noun	15173255-n											
b3giru!t	noun	0	noun	15177777-n											
b3haqi!Z	fixed	0	adverb	00188931-s						formal	fossil				
b3hejave!Q	fixed	0	adverb	00078711-r											
b3hEjle!7	fixed	0	adverb	00145758-r											
b3hema!H	noun	0	noun	01890115-n	Livestock										
b3hema!H	noun	0	noun	10631726-n						slang	contemporary	common			
b3hema!H GA_sa!H	noun	0	noun	02405077-n							obsolete				
b3hemi!	noun	0	adjective	00686808-s											
b3hemW!t	noun	0	noun	02401173-n						literary	obsolete	rare			
b3hemW!t	noun	0	noun		Behemoth										
b3hEqDe!m	fixed	0	adverb	00106290-r											
b3hE_Se!g ya!d	fixed	0	adverb	00447018-s											
b3hEtQe!m	fixed	0	adverb	00063627-r											
b3hExre!jÁ	fixed	0	adverb	00113314-r											
b3hEZne!RÁ	fixed	0	adverb	00163672-r						formal		infrequent			
b3hilu!t	noun	0	noun	14474655-n											
b3hiru!t	noun	0	noun	04827489-n											
b3hiru!t	noun	0	noun	05025269-n											
b3hI_ya!H	noun	0	noun	00880134-n											
b3hIzDA_m3nu!t	fixed	0	adverb	00166484-r						colloquial	contemporary	common			
b3jAvru!taQ	fixed	0	adverb	00117495-r						formal		infrequent			
b3jE!sEd RElyW!n	fixed	0	adverb	00183802-r											
b3jica!H	noun	0	noun	00202365-n											
b3jila!H	noun	0	noun	07519350-n											
b3jila!H	noun	0	noun	14383357-n	Nausea										
b3jila!H	noun	0	noun	07519350-n											
b3jila!H	noun	0	noun	14383357-n											
b3jina!H	noun	0	noun	00792739-n											
b3jina!H	noun	0	noun	07211681-n											
b3jina!H	noun	0	noun	00637093-n											
b3jina!H	noun	0	noun	06220098-n											
b3jina!H	noun	0	noun	07211681-n	Test_(assessment)										
b3jira!H	noun	0	noun	00162063-n											
b3jira!H	noun	0	noun	00162063-n											
b3jira!H	noun	0	noun	05798247-n											
b3jira!H jOfci!t	noun	0	noun	05206024-n	Free_will			בחירה_חופשית							
b3jirW!t	noun	0	noun	00182630-n											
b3jirW!t	noun	0	noun	15197928-n											
b3jirW!t mAqDimW!t	noun	0	noun		Primary_election	primaries, preliminary elections									
b3jOfcI_yu!t	fixed	0	adverb	00211960-r											
b3jOfza!H	fixed	0	adverb	00207806-r											
b3jOzqa!H	fixed	0	adverb	00178775-r											
b3lA!Ny	noun	0	noun	14585210-n											
b3lA!Ny	noun	0	noun	13485407-n						neutral	contemporary	common			
b3laya!H	noun	0	noun		Weathering										
b3le!v cale!m	fixed	0	adverb	00497146-r											
b3le!v wanE!fEc	fixed	0	adverb	00497146-r											
b3le!Yt b3rera!H	fixed	0	adverb											https://en.wiktionary.org/wiki/choicelessly	
b3li7a!H	noun	0	noun	13917127-n											
b3lica!H	noun	0	noun	00655477-n											
b3li DA!y	fixed	0	adverb	00284664-r											
b3li! hE!rEf	fixed	0	adverb	00284664-r											
b3li!l	noun	0	noun	08415730-n											
b3li l3hani!d RAfRA!f	fixed	0	adverb	00147028-r											
b3lila!H	noun	0	noun	07876781-n	Batter_(cooking)				cooking		contemporary				
b3lima!H	noun	0	noun						military		contemporary	common	13631262n		holding_action-noun
b3lima!H	noun	0	noun	00331500-n		ili isnt specific to vehicles, omegawiki is			vehicles	formal	contemporary	common	00012710n	http://www.omegawiki.org/DefinedMeaning:braking_(1235804)	
b3lima!H	noun	0	noun						military		contemporary	common	13631262n		braking-noun
b3liRa!H	noun	0	noun	00841439-n	Swallowing						contemporary				
b3liRa!H	noun	0	noun	13445356-n					physics	formal	contemporary	common			
b3lisa!H	noun	0	noun	00760539-n	Overeating										
b3lI_ya!H	noun	0	noun		Weathering						contemporary				
b3lI_yA!RAl	noun	0	noun	05151910-n							fossil				
b3lu!t	noun	0	noun	15179422-n	Menopause				biology		contemporary				
b3lW!	noun	0	noun	13337354-n	Excise				economics		contemporary				
b3lWri!t	noun	0	noun	05265534-n											
b3mAfGi!RÁ	fixed	0	adverb	00144102-r											
b3mAfTi!RÁ	fixed	0	adverb	00062215-r											
b3mAjcava!H T3jI_la!H	fixed	0	adverb	00239363-r											
b3mAqbi!l	fixed	0	adverb	00120979-r											
b3mE!cEx hA_z3mA!n	fixed	0	adverb	00048676-r											
b3meYcari!n	fixed	0	adverb	00058666-r											
b3mezi!d	fixed	0	adverb	00062868-r											
b3mIcTA_me!RÁ	fixed	0	adverb	00369055-r											
b3mIqrE!H	fixed	0	adverb	00040959-r											
b3mItkA_we!n	fixed	0	adverb	00062868-r											
b3mUqDa!m QW bImQUja!r	fixed	0	adverb												sooner_or_later-adv
b3naqe!l	fixed	0	adverb	00198411-r											
b3nE!fEc jáfeZa!H	fixed	0	adverb	00349906-r											
b3nEQémanu!t	fixed	0	adverb	00317497-r											
b3ne!Y yISraQe!l	noun	0	noun		Jews										
b3nIfra!d	fixed	0	adverb	00208995-r											
b3niju!taQ	fixed	0	adverb	00449959-r											
b3nI_ya!H	noun	0	noun	05779833-n						colloquial	contemporary	infrequent			
b3nI_ya!H	noun	0	noun	01106542-n											
b3nI_ya!H	noun	0	noun	00912746-n	Construction										
b3nWsa!f	fixed	0	adverb	00046607-r						colloquial					
b3QAqrA!Ny	fixed	0	adverb	00071165-r											
b3qarW!v	fixed	0	adverb	00034309-r											
b3qarW!v	fixed	0	adverb	00034309-r											
b3Qe!r	noun	0	noun	04579630-n		dbpedia: Oil_well, Gas_well, Water_well									
b3Qe!r cE!vAR	fixed	0	properNoun		Beersheba										
b3qeru!v	fixed	0	adverb	00007414-r											
b3qiQu!t	noun	0	noun	05648574-n											
b3qi!RÁ	noun	0	noun	09281621-n											
b3qiRa!H	noun	0	noun	00045193-n											
b3qIrvA!t maqW!m	fixed	0	adjective	00071721-r											
b3qo!ci	fixed	0	adverb	00003317-r											
b3Qo!fEn k3lali!	fixed	0	adverb	00042364-r											
b3Qo!fEn yAjási!	fixed	0	adverb	00162033-r											
b3Rali!m	noun	0	noun	10408623-n											
b3Rali!m	noun	0	noun	10409097-n											
b3RA!l kOrjW!	fixed	0	adverb	00344420-r		=against one's will									
b3Rata!H	noun	0	noun	07535851-n											
b3raxa!H	noun	0	noun	07204699-n											
b3raxa!H	noun	0	noun	14497848-n											
b3raxa!H	noun	0	noun	06642524-n	Greeting										
b3raxa!H	noun	0	noun	14010908-n						formal	dated	infrequent			
b3raxa!H l3vA_7ala!H	noun	0	noun					ברכה_לבטלה	judaism						
