repr	class	index	dotted	pos	root	affix	affix_allomorph	gender	number	comment	singular_suffix	plural_suffix	phonemic	paradigm	checked	is_foreign	latin
73ri!z	noun	0	טְרִיז	noun	Trz	m_q37i!l	-	z	-		-	im	tri!z	b_sus	true	false	Tri!z
73ro!fEt	noun	0	טְרֹפֶת	noun	Trf	m_q37o!lEt	-	n			Et	Wt	tro!fet		true	false	Tro!fet
73Ro!nEt	noun	0	טְעֹנֶת	noun	TRn	m_q37o!lEt	-	n			Et	Wt	teo!net	b_mishqolet	true	false	Teô!net
73run3ya!H	noun	0	טְרוּנְיָה	noun				n			a!H	Wt	trunya!		false	false	Trunya!
73run3ya!Q	noun	0	טְרוּנְיָא	noun				n			-		trunya!		false	false	Trunya!
73Ru!n 7I_pu!jÁ	noun	0	טְעוּן טִפּוּחַ	adjective				z					teu!n tipu!ax		false	false	Teû!n Tipu!ac
73rW!m	noun	0	טְרוֹם	noun	Trm	m_q37W!l	-				-		tro!m		true	false	Tro!m
73rWmi!	noun	0	טְרוֹמִי	adjective	Trm	s_i_adj	-	z			-	im	tromi!	b_i	false	false	Tromi!
73vE!ryaH	fixed	0	טְבֶרְיָה	properNoun				z					tve!rya		false	false	Tve!rya
73vija!H	noun	0	טְבִיחָה	noun	Tvj	m_q37ila!H	-	n			a!H	Wt	tvixa!	b_sus	true	false	Tvica!
73vila!H	noun	0	טְבִילָה	noun	Tvl	m_q37ila!H	-	n			a!H	Wt	tvila!	b_sus	true	false	Tvila!
73vilA!t Qe!c	noun	0	טְבִילַת אֵשׁ	noun				n					tvila!t e!c		false	false	Tvila!t e!S
73viRa!H	noun	0	טְבִיעָה	noun	TvR	m_q37ila!H	-	n			a!H	Wt	tvia!	b_sus	true	false	Tviâ!
73viRA!t QEZbaRW!t	noun	0	טְבִיעַת אֶצְבָּעוֹת	noun									tvia!t etsbao!t		false	false	Tviâ!t eZbaô!t
73viRA!t RA!yIn	noun	0	טְבִיעַת עַיִן	noun									tvia!t a!yin		false	false	Tviâ!t â!yin
73viRA!t rE!gEl	noun	0		noun				n					tvia!t re!gel		false	false	Tviâ!t re!gel
73wa!j	noun	0	טְוָח	noun	Twj	m_q37a!l	-	z			-	im	tva!x	b_dat	true	false	Twa!c
73wi!	noun	0	טְוִי	noun	Twy			z			-		têvi!	b_gdi	false	false	T3wi!
73wI_ya!H	noun	0	טְוִיָּה	noun	Twy	m_q37ila!H	-	n			a!H	Wt	tviya!	b_sus	true	false	Twiya!
73yu7a!H	noun	0	טְיוּטָה	noun	TyT			n			a!H	Wt	tyuta!	b_sus	false	false	TyuTa!
73yW7a!H	noun	0	טְיוֹטָה	noun		m_q37Wla!H	-	n			a!H	Wt	tyota!		true	false	TyoTa!
7A_ba!j	noun	0	טַבָּח	noun	Tvj	m_qA_7a!l	-	z			-	im	taba!x	b_dat	true	false	Taba!c
7A!_baq	noun	0	טַבָּק	noun				z			-		ta!bak	f_atom	false	true	Ta!baq
7A_bA!RAt	noun	0	טַבַּעַת	noun	TvR	m_qA_7E!lEt	-	n			Et	Wt	taba!at	b_koteret	true	false	Taba!ât
7A_bARTi!	noun	0	טַבַּעְתִּי	adjective	TvR	s_i_adj	-	z			-	im	tabati!	b_i	false	false	Tabâti!
7A!_blE7	noun	0	טַבְּלֶט	noun				z			-	im	ta!blet	f_atom	false	true	Ta!bleT
7A!_bu	noun	0	טַבּוּ	noun				z			-	im	ta!bu	f_mango	false	true	Ta!bu
7a_bu!n	noun	0	טָבּוּן	noun				z			-	im	tabu!n	f_atom	false		Tabu!n
7A_bu!r	noun	0	טַבּוּר	noun	Tbr	m_qA_7u!l	-	z	-		-	im	tabu!r	b_sus	true	false	Tabu!r
7A_buri!	noun	0	טַבּוּרִי	adjective		s_i_adj		z			-	im	taburi!	b_i	false		Taburi!
7a!c	noun	0	טָשׁ	beynoni	Twc	m_qa!l		z	-		-	im	ta!c		false	false	Ta!S
7a!c	verb	0	טָשׁ	verb	Twc	b_paal							ta!c		false	false	Ta!S
7A!f	noun	0	טַף	noun	Tff			z			-		ta!f	b_tof	false	false	Ta!f
7Af7E!fEt	noun	0	טַפְטֶפֶת	noun	TfTf	m_qA_7E!lEt	*A**E!*Et	n			Et	Wt	tafte!fet		true	false	TafTe!fet
7afA!c	verb	0	טָפַשׁ	verb	Tpc	b_paal							tafa!c		false	false	Tafa!S
7afA!f	verb	0	טָפַף	verb	Tpp	b_paal							tafa!f		false	false	Tafa!f
7afA!j	verb	0	טָפַח	verb	Tpj	b_paal							tafa!x		false	false	Tafa!c
7afA!l	verb	0	טָפַל	verb	Tpl	b_paal							tafa!l		false	false	Tafa!l
7afe!l	noun	0	טָפֵל	adjective	Tfl			z	-		-	im	tafe!l		false	false	Tafe!l
7Afsa!r	noun	0	טַפְסָר	noun				z			-	im	tafsa!r	b_binyan	false		Tafsa!r
7afu!f	noun	0	טָפוּף	beynoni	Tff	m_qa7u!l	-	z	-		-	im	tafu!f	b_paqid	true	false	Tafu!f
7afu!jÁ	noun	0	טָפוּחַ	beynoni	Tfj	m_qa7u!l	-	z	-		-	im	tafu!ax	b_paqid	true	false	Tafu!ac
7afu!l	noun	0	טָפוּל	beynoni	Tfl	m_qa7u!l	-	z	-		-	im	tafu!l	b_paqid	true	false	Tafu!l
7ahA!r	verb	0	טָהַר	verb	Thr	b_paal							taha!r		false	false	Taha!r
7Ahára!H	noun	0	טַהֲרָה	noun	Thr			n	-		a!H	Wt	tahara!	b_simla	false	false	Tahara!
7Ahára!n	noun	0	טַהֲרָן	noun	Thr	m_qA7la!n	-	z			-	im	tahara!n	b_dat	true	false	Tahara!n
7Ahárani!	noun	0	טַהֲרָנִי	adjective		s_i_adj		z			-	im	taharani!	b_i	false	false	Taharani!
7Aháranu!t	noun	0	טַהֲרָנוּת	noun	Thr	s_ut	-	n			u!t	Wt	taharanu!t	b_sus	false	false	Taharanu!t
7AhárA!t hA_lacW!n	noun	0	טַהֲרַת הַלָּשׁוֹן	noun									tahara!t halaco!n		false		Tahara!t halaSo!n
7ahe!r	noun	0	טָהֵר	beynoni	Thr	m_qa7e!l		z	-		-	im	tahe!r		false	false	Tahe!r
7ahu!r	noun	0	טָהוּר	beynoni	Thr	m_qa7u!l	-	z	-		-	im	tahu!r	b_paqid	true	false	Tahu!r
7ahW!r	noun	0	טָהוֹר	noun	Thr	m_qa7W!l	-	z			-	im	taho!r		true	false	Taho!r
7a!j	noun	0	טָח	beynoni	Twj	m_qa!l		z	-		-	im	ta!x		false	false	Ta!c
7a!j	verb	0	טָח	verb	Twj	b_paal							ta!x		false	false	Ta!c
7A!j	noun	0	טַח	beynoni	Tjj			z	-		-	im	ta!x		false	false	Ta!c
7A!j	verb	0	טַח	verb	Tjj	b_paal							ta!x		false	false	Ta!c
7ajA!n	verb	0	טָחַן	verb	Tjn	b_paal							taxa!n		false	false	Taca!n
7Aja!n	noun	0	טַחָן	noun	Tjn			z			-		taxa!n		false	false	Taca!n
7Ajána!H	noun	0	טַחֲנָה	noun	Tjn	m_qA7la!H	-	n			-	Wt	taxana!	b_simla	true	false	Tacana!
7AjánA!t mA!yIm	noun	0		noun									taxana!t ma!yim		false	false	Tacana!t ma!yim
7AjánA!t qE!mAj	noun	0		noun									taxana!t ke!max		false	false	Tacana!t qe!mac
7AjánA!t ru!jÁ	noun	0		noun				n					taxana!t ru!ax		false	false	Tacana!t ru!ac
7AjánW!t ru!jÁ	noun	0	טַחֲנוֹת רוּחַ	noun									taxano!t ru!ax		false	false	Tacano!t ru!ac
7A!jAv	noun	0	טַחַב	noun	Tjv	m_qE!7El	*A!*A*	z			-		ta!xav	b_baal	true	false	Ta!cav
7aju!n	noun	0	טָחוּן	adjective	Tjn	m_qa7u!l	-	z			-	im	taxu!n	b_paqid	false	false	Tacu!n
7aju!v	noun	0	טָחוּב	adjective	Tjv	m_qa7u!l	-	z			-	im	taxu!v	b_paqid	false	false	Tacu!v
7A!l	noun	0	טַל	noun	Tll			z	-		-		ta!l		false	false	Ta!l
7Al7A!l	noun	0	טַלְטַל	noun	TlTl			z			-	im	talta!l	b_tof	false	false	TalTa!l
7Al7ela!H	noun	0	טַלְטֵלָה	noun	TlTl			n			a!H	Wt	taltela!	b_sus	false	false	TalTela!
7ala!Q	verb	0	טָלָא	verb	TlQ	b_paal							tala!		false	false	Tala!
7A_lE!fEt	noun	0	טַלֶּפֶת	noun	Tlf	m_qA_7E!lEt	-	n			Et	Wt	tale!fet		true	false	Tale!fet
7alE!H	noun	0	טָלֶה	noun				z			E!H		tale!		false	false	Tale!
7A_li!t	noun	0	טַלִּית	noun		s_it_noun		n			i!t	Wt	tali!t	b_sus	true		Tali!t
7A_li!t cE_kU_la!h T3xe!lEt	noun	0	טַלִּית שֶׁכֻּלָּהּ תְּכֵלֶת	noun									tali!t cekula!h txe!let		false		Tali!t Sekula!h txe!let
7Alpa!n	noun	0	טַלְפָּן	noun	Tlfn	m_qA7la!n	-	z			-	im	talpa!n	b_dat	true	false	Talpa!n
7A!lq	noun	0	טַלְק	noun				z			-		ta!lk	f_atom	false	true	Ta!lq
7alu!l	noun	0	טָלוּל	adjective	Tll			z	-		-	im	talu!l		false	false	Talu!l
7alu!Q	noun	0	טָלוּא	beynoni	TlQ	m_qa7u!l	-	z	-		-	im	talu!	b_paqid	true	false	Talu!
7Alya!H	noun	0	טַלְיָה	noun		m_qA7la!H	-	n			-	Wt	talya!	b_yalda	true	false	Talya!
7amAgWCi!	noun	0	טָמַגוֹצִ׳י	noun				z			-	im	tamagotci!	f_atom	false		TamagoCi!
7amA!m	verb	0	טָמַם	verb	Tmm	b_paal							tama!m		false	false	Tama!m
7amA!n	verb	0	טָמַן	verb	Tmn	b_paal							tama!n		false	false	Tama!n
7amA!n pA!j	verb	0	טָמַן פַּח	verb									tama!n pa!x		false	false	Tama!n pa!c
7amA!n ro!Nc bAjW!l	verb	0	טָמַן רֹאשׁ בַּחוֹל	verb									tama!n ro!c baxo!l		false	false	Tama!n ro!S baco!l
7amA!n yadW! bA_ZA_lA!jAt	verb	0	טָמַן יָדוֹ בַּצַּלַּחַת	verb									tama!n yado! batsala!xat		false	false	Tama!n yado! baZala!cat
7ame!Q	noun	0	טָמֵא	beynoni	TmQ			z	-		-	im	tame!		false	false	Tame!
7ame!Q	verb	0	טָמֵא	verb	TmQ	b_paal							tame!		false	false	Tame!
7ami!r	noun	0	טָמִיר	noun	Tmr	m_qa7i!l	-	z			-	im	tami!r	b_paqid	true	false	Tami!r
7Ampu!raH	noun	0	טַמְפּוּרָה	noun				n			a!H	Wt	tampu!ra	f_banana	false	true	Tampu!ra
7AmpW!n	noun	0	טַמְפּוֹן	noun				z			-	im	tampo!n	f_atom	false		Tampo!n
7amu!n	noun	0	טָמוּן	beynoni	Tmn	m_qa7u!l	-	z	-		-	im	tamu!n	b_paqid	true	false	Tamu!n
7amu!RÁ	noun	0	טָמוּעַ	beynoni	TmR	m_qa7u!l	-	z	-		-	im	tamu!a	b_paqid	true	false	Tamu!â
7anA!n	verb	0	טָנַן	verb	Tnn	b_paal							tana!n		false	false	Tana!n
7aN_bu!	noun	0	טָאבּוּ	noun				z			-	im	tabu!	f_mango	false	true	Tabu!
7AN_bu!n	noun	0	טַאבּוּן	noun				z	-		-	im	tabu!n		false		Tabu!n
7A!nGaH	noun	0	טַנְגָּה	noun				n			a!H	Wt	ta!nga	f_banana	false	true	Ta!nga
7A!nGEns	noun	0	טַנְגֶּנְס	noun							-	im	ta!ngens	f_atom	false	true	Ta!ngens
7A!nGW	noun	0	טַנְגּוֹ	noun				z			-	im	ta!ngo	f_mango	false	true	Ta!ngo
7A!nq	noun	0	טַנְק	noun				z			-	im	ta!nk	f_atom	false	true	Ta!nq
7A_p3sa!n	noun	0	טַפְּסָן	noun	Tfs	m_qA_73la!n		z			-	im	tapsa!n	b_binyan	true	false	Tapsa!n
7A_pe!7	noun	0	טַפֵּט	noun				z			-	im	tape!t	f_atom	false		Tape!T
7A_pE!7	noun	0	טַפֶּט	noun							-	im	tape!t	f_atom	false		Tape!T
7A_pi!l	noun	0	טַפִּיל	noun	Tfl	m_qA_7i!l	-	z			-	im	tapi!l	b_sus	true	false	Tapi!l
7A_pili!	noun	0	טַפִּילִי	adjective		s_i_adj		z			-	im	tapili!	b_i	false		Tapili!
7A_pi!r	noun	0	טַפִּיר	noun	Tpr	m_qA_7i!l	-	z			-		tapi!r	b_sus	true	false	Tapi!r
7A!q7	noun	0	טַקְט	noun				z			-	im	ta!kt	f_atom	false	true	Ta!qT
7Aq7i!	noun	0	טַקְטִי	adjective		s_i_adj		z			-	im	takti!	b_i	false		TaqTi!
7A!q7iqaH	noun	0	טַקְטִיקָה	noun				n			a!H	Wt	ta!ktika	f_banana	false	true	Ta!qTiqa
7Aq7iqa!n	noun	0	טַקְטִיקָן	noun				z			-	im	taktika!n	f_atom	false	true	TaqTiqa!n
7AqsWnW!mi	noun	0	טַקְסוֹנוֹמִי	adjective				z			-	im	taksono!mi	f_stati	false	true	Taqsono!mi
7AqsWnW!myaH	noun	0	טַקְסוֹנוֹמְיָה	noun				n			a!H	Wt	taksono!mya	f_banana	false	true	Taqsono!mya
7aQu7WlW!gi	noun	0	טָאוּטוֹלוֹגִי	adjective				z			-	im	tautolo!gi	f_stati	false	true	TauTolo!gi
7AqVAndW!	noun	0	טַקְוַ׳נְדוֹ	noun				z	singulare_tantum		-		takwando!	f_mango	false	true	TaqWando!
7aQWQi!s7i	noun	0	טָאוֹאִיסְטִי	adjective				z			-	im	taoi!sti	f_stati	false	true	Taoi!sTi
7Ar73ra!n	noun	0	טַרְטְרָן	noun	TrTr	m_qA_73la!n		z			-	im	tartera!n	b_dat	true	false	TarTera!n
7arAcTi!	noun	0	טָרַשְׁתִּי	adjective		s_i_adj		z			-	im	taracti!	b_i	false		TaraSti!
7arA!d	verb	0	טָרַד	verb	Trd	b_paal							tara!d		false	false	Tara!d
7ara!f	noun	0	טָרָף	noun		m_qa7a!l	-	z			-	im	tara!f	b_kanaf	true	false	Tara!f
7arA!f	verb	0	טָרַף	verb	Trp	b_paal							tara!f		false	false	Tara!f
7arA!f QEt nAfcW!	verb	0	טָרַף אֶת נַפְשׁוֹ	verb									tara!f et nafco!		false	false	Tara!f et nafSo!
7ara!H	verb	0	טָרָה	verb	Try	b_paal							tara!		false	false	Tara!
7aRa!H	verb	0	טָעָה	verb	TRy	b_paal							taa!		false	false	Taâ!
7arA!j	verb	0	טָרַח	verb	Trj	b_paal							tara!x		false	false	Tara!c
7aRA!m	verb	0	טָעַם	verb	TRm	b_paal							taa!m		false	false	Taâ!m
7A!RAm	noun	0	טַעַם	noun	TRm	m_qE!7El	*A!*A*	z			-	im	ta!am	b_derex	true	false	Ta!âm
7ARáme!Y hA_mIqra!Q	noun	0	טַעֲמֵי הַמִּקְרָא	noun									taame!ŷ hamikra!		false	false	Taâme!Y hamiqra!
7A!RAm m3care!t	noun	0	טַעַם מְשָׁרֵת	noun									ta!am mecare!t		false	false	Ta!âm meSare!t
7aRA!n	verb	0	טָעַן	verb	TRn	b_paal							taa!n		false	false	Taâ!n
7arA!n7EH	fixed	0	טָרַנְטֶה	properNoun				z					tara!nte		false		Tara!nTe
7arA!n7ulaH	noun	0	טָרַנְטוּלָה	noun				n			a!H	Wt	tara!ntula	f_banana	false	true	Tara!nTula
7ARána!H	noun	0	טַעֲנָה	noun	TRn	m_qA7la!H	-	n			-	Wt	taana!	b_simla	true	false	Taâna!
7ARánA!t nE!gEd	noun	0	טַעֲנַת נֶגֶד	noun									taana!t ne!ged		false	false	Taâna!t ne!ged
7arA!q	verb	0	טָרַק	verb	Trq	b_paal							tara!k		false	false	Tara!q
7arara!m	noun	0	טָרָרָם	noun				z			-		tarara!m		false		Tarara!m
7Arda!n	noun	0	טַרְדָן	adjective	Trd			z	-		-	im	tarda!n	b_dat	false	false	Tarda!n
7ArDa!n	noun	0	טַרְדָן	noun	Trd	m_qA7la!n	-	z			-	im	tarda!n	b_dat	true	false	Tarda!n
7Ardani!	noun	0	טַרְדָנִי	adjective		s_i_adj		z			-	im	tardani!	b_i	false		Tardani!
7Ardanu!t	noun	0	טַרְדָנוּת	noun		s_ut		n			u!t	Wt	tardanu!t	b_sus	false	false	Tardanu!t
7arE!cEt	noun	0	טָרֶשֶׁת	noun	Trc	m_qA_7E!lEt	*a*E!*Et	n			Et	Wt	tare!cet	b_koteret	true	false	Tare!Set
7arE!cEt n3fWZa!H	noun	0	טָרֶשֶׁת נְפוֹצָה	noun									tare!cet nefotsa!		false		Tare!Set nefoZa!
7arE!cEt RWr3qi!m	noun	0	טָרֶשֶׁת עוֹרְקִים	noun									tare!cet oreki!m		false	false	Tare!Set ôreqi!m
7are!f	noun	0	טָרֵף	adjective	Trf			z	-		-	im	tare!f		false	false	Tare!f
7Arfa!n	noun	0	טַרְפָן	noun	Trf	m_qA7la!n	-	z			-	im	tarfa!n	b_dat	true	false	Tarfa!n
7ari!	noun	0	טָרִי	adjective	Try	s_i_adj	-	z			-	im	tari!	b_i	false	false	Tari!
7aRi!m	noun	0	טָעִים	adjective	TRm	m_qa7i!l	-	z	-		-	im	tai!m	b_paqid	true	false	Taî!m
7Arja!n	noun	0	טַרְחָן	noun	Trj	m_qA7la!n	-	z			-	im	tarxa!n	b_dat	true	false	Tarca!n
7Arjani!	noun	0	טַרְחָנִי	adjective		s_i_adj		z			-	im	tarxani!	b_i	false	false	Tarcani!
7Arjanu!t	noun	0	טַרְחָנוּת	noun		s_ut		n			u!t	Wt	tarxanu!t	b_sus	false	false	Tarcanu!t
7ArpE!dEt	noun	0	טַרְפֶּדֶת	noun	Trfd			n			Et	Wt	tarpe!det	b_koteret	false	false	Tarpe!det
7aru!7	noun	0	טָרוּט	beynoni	TrT	m_qa7u!l	-	z	-		-	im	taru!t	b_paqid	true	false	Taru!T
7aru!c	noun	0	טָרוּשׁ	adjective	Trc			z	-		-	im	taru!c		false	false	Taru!S
7aru!d	noun	0	טָרוּד	beynoni	Trd	m_qa7u!l	-	z	-		-	im	taru!d	b_paqid	true	false	Taru!d
7aru!f	noun	0	טָרוּף	beynoni	Trf	m_qa7u!l	-	z	-		-	im	taru!f	b_paqid	true	false	Taru!f
7aru!jÁ	noun	0	טָרוּחַ	beynoni	Trj	m_qa7u!l	-	z	-		-	im	taru!ax	b_paqid	true	false	Taru!ac
7aRu!m	noun	0	טָעוּם	beynoni	TRm	m_qa7u!l	-	z	-		-	im	tau!m	b_paqid	true	false	Taû!m
7aRu!n	noun	0	טָעוּן	adjective	TRn	m_qa7u!l	-	z			-	im	tau!n	b_paqid	false	false	Taû!n
7aru!q	noun	0	טָרוּק	beynoni	Trq	m_qa7u!l	-	z	-		-	im	taru!k	b_paqid	true	false	Taru!q
7aRu!t	noun	0	טָעוּת	noun	TRy	s_ut	-	n			u!t	Wt	tau!t	b_sus	false	false	Taû!t
7aRu!t mara!H	noun	0	טָעוּת מָרָה	noun									tau!t mara!		false	false	Taû!t mara!
7aRu!t sWfe!r	noun	0	טָעוּת סוֹפֵר	noun									tau!t sofe!r		false	false	Taû!t sofe!r
7aRu!y	noun	0	טָעוּי	beynoni	TRy	m_qa7u!l	-	z	-		-	im	tau!y	b_paqid	true	false	Taû!y
7A!rzan	noun	0	טַרְזָן	noun	Trz			z			-	im	ta!rzan	b_dat	false	false	Ta!rzan
7a!s	noun	0	טָס	beynoni	Tws	m_qa!l		z	-		-	im	ta!s		false	false	Ta!s
7a!s	verb	0	טָס	verb	Tws	b_paal							ta!s		false	false	Ta!s
7A!s	noun	0	טַס	noun	Tss			z			-		ta!s	b_tof	false	false	Ta!s
7A_si!t	noun	0	טַסִּית	noun	Tss			n			i!t	Wt	tasi!t	b_sus	false	false	Tasi!t
7A_si!t Da!m	noun	0	טַסִּית דָּם	noun									tasi!t da!m		false		Tasi!t da!m
7avA!j	verb	0	טָבַח	verb	Tbj	b_paal							tava!x		false	false	Tava!c
7avA!l	verb	0	טָבַל	verb	Tbl	b_paal							tava!l		false	false	Tava!l
7avA!R	verb	0	טָבַע	verb	TbR	b_paal							tava!		false	false	Tavâ!
7Avla!H	noun	0	טַבְלָה	noun	Tvl	m_qA7la!H	-	n			a!H	aQW!t	tavla!	b_yalda	true	false	Tavla!
7Avla!n	noun	0	טַבְלָן	noun	Tvl	m_qA7la!n	-	z			-	im	tavla!n	b_dat	true	false	Tavla!n
7AvlaQi!	noun	0	טַבְלָאִי	adjective		s_i_adj		z			-	im	tavlai!	b_i	false		Tavlai!
7Avli!t	noun	0	טַבְלִית	noun		s_it_noun		n			i!t	Wt	tavli!t	b_sus	true		Tavli!t
7AvlI_ya!H	noun	0	טַבְלִיָּה	noun		s_iya_object		n			a!H	Wt	tavliya!	b_sus	true		Tavliya!
7Avrani!	noun	0	טַבְרָנִי	adjective				z			-	im	tavrani!	b_i	false		Tavrani!
7avu!jÁ	noun	0	טָבוּחַ	beynoni	Tvj	m_qa7u!l	-	z	-		-	im	tavu!ax	b_paqid	true	false	Tavu!ac
7avu!l	noun	0	טָבוּל	beynoni	Tvl	m_qa7u!l	-	z	-		-	im	tavu!l	b_paqid	true	false	Tavu!l
7avu!R	noun	0	טָבוּע	beynoni	TvR	m_qa7u!l	-	z	-		-	im	tavu!	b_paqid	true	false	Tavû!
7avu!RÁ	noun	0	טָבוּעַ	beynoni	TvR	m_qa7u!l	-	z	-		-	im	tavu!a	b_paqid	true	false	Tavu!â
7awa!H	verb	0	טָוָה	verb	Twy	b_paal							tava!		false	false	Tawa!
7A_wA!Ny	noun	0	טַוַּאי	noun	Twy	s_ANy		z			A!Ny	im	tava!y	b_sus	false	false	Tawa!y
7A_wa!s	noun	0	טַוָּס	noun	Tws	m_qA_7a!l	-	z			-	im	tava!s	b_dat	true	false	Tawa!s
7awu!j	noun	0	טָווּח	beynoni	Twj	m_qa7u!l	-	z	-		-	im	tavu!x	b_paqid	true	false	Tawu!c
7awu!s	noun	0	טָווּס	beynoni	Tws	m_qa7u!l	-	z	-		-	im	tavu!s	b_paqid	true	false	Tawu!s
7awu!y	noun	0	טָווּי	beynoni	Twy	m_qa7u!l	-	z	-		-	im	tavu!y	b_paqid	true	false	Tawu!y
7A_ya!j	noun	0	טַיָּח	noun	Tyj	m_qA_7a!l	-	z			-	im	taya!x	b_dat	true	false	Taya!c
7A_ya!l	noun	0	טַיָּל	noun	Tyl	m_qA_7a!l	-	z			-	im	taya!l	b_dat	true	false	Taya!l
7aya!NraH	noun	0	טָיָארָה	noun				n			a!H	Wt	taya!ra	f_banana	false	true	Taya!ra
7A_ya!s	noun	0	טַיָּס	noun	Tws	m_qA_7a!l	-	z			-	im	taya!s	b_dat	true	false	Taya!s
7A_yA!s jala!l	noun	0		noun				z					taya!s xala!l		false	false	Taya!s cala!l
7A_yE!lEt	noun	0	טַיֶּלֶת	noun	Tyl	m_qA_7E!lEt	-	n			Et	Wt	taye!let	b_koteret	true	false	Taye!let
7A_yE!sEt	noun	0	טַיֶּסֶת	noun	Tws			n			Et	Wt	taye!set	b_koteret	false	false	Taye!set
7Ayfu!n	noun	0	טַיְפוּן	noun				z			-	im	tayfu!n	f_atom	false	true	Tayfu!n
7A!yIs	noun	0	טַיִס	noun	Tys	m_qA!yIl	-	z			-	im	ta!yis	b_dat	true	false	Ta!yis
7Ayla!n	noun	0	טַיְלָן	noun	Tyl	m_qA7la!n	-	z			-	im	tayla!n	b_dat	true	false	Tayla!n
7A!yZ	noun	0	טַיְץ	noun				z			-	im	ta!yts	f_atom	false	true	Ta!yZ
